LOC_ID  FICT_METER_NO      Description
ER-91   PARP-PARD      SUM OF PARULIA-PARULIA PG END
ER-92   MITH-KLYN      SUM OF MAITHON-KALYANESWRI PG END
DV-81   DV-EX-BS       DVC EXCHANGE WITH BSEB
DV-82   DV-EX-WB       DVC EXCHANGE WITH WBSEB
DT-01   DV-NET-MAIN    DVC SUMMATION MAIN METER
DS-01   DV-NET-STND    DVC SUMMATION STND METER
DV-91   DV-NET-EX      DVC NET EXCHANGE
SM-91   SK-NET-EX      SIKIM NET EXCHANGE
OM-01   GC0-NET-MAIN   GRIDCO SUMMATION MAIN METER
OS-01   GCO-NET-STDBY  GRIDCO SUMMATION STND_METER
OR-81   GCO-EX-CS      GRIDCO EXCHANGE WITH CS
OR-82   GCO-EX-JS      GRIDCO EXCHANGE WITH JSEB
OR-83   GCO-EX-MP      GRIDCO EXCHANGE WITH MPEB
OR-90   GCO_PG_TERT    GRIDCO TERTIRAY WITH PG
OR-91   GCO-NET-EX     GRIDCO NET EXCHANGE
WB-81   WB-EX-CS       WBSEB EXCHANGE WITH CS (OTHER THAN 400 KV)
WB-82   WB-EXNT-C      WBSEB EXCHANGE WITH CS
WB-84   WB-EX-DVC      WBSEB EXCHANGE WITH DVC
WB-90   WB_PG_TERT     WBSEB TERTIRAY WITH PG
WB-91   WB-NET-EX      WBSEB NET EXCHANGE
WM-01   WB-NET-MAIN    WB NET MAIN METER SUMMATION
WS-01   WB-NET-STND    WB NET STND-BY METER SUM        
NE-71   SLK-BRP-AV     BIRPARA-SALAKATI AVG.
NE-72   BNG-MLD-AV     BONGAIGAON-MALDA ABG.     
NE-91   NE-NET-EX      NER NET EXCHANGE
SR-91   SR-NET-EX      SR NET EXCHANGE AT EAST BUS
SR-92   SRS-EXCH       SR NET EXCHANGE AT SOUTH BUS
WR-91   WR-NET-EX      WR NET EXCHANGE
NR-61   SSRM_EXER      NR EXCHANGE AT SSRM EAST BUS
NR-62   SSRM_EXNR      NR EXCHANGE AT SSRM NORTH BUS
NR-91   NR-NET-EX      NR NET EXCHANHE
PS-91   HVDC_PSL       HVDC PUSAULI NET
AL-91   HVDC_ALP       HVDC ALIPURDUAR NET
IB-91   INB_NET        IND BARATH NET INJECTION
JS-88   KND_JOD        SUM OF JODA-KEND MAIN TRF
AL-99   ALP_PL_34      ALIPURDUAR POLE-3 & 4 SUM
AG-99   AG_PL_1234     AGRA POLE SUM
BN-99   BNC_PL_12      BNC POLE-1 & 2 SUM
AB-99   ALPBNC-TOT     ALIPURDUAR & BNC TOTAL
EC-95   BIN-JPG-CH     BINAGURI -JALPAIGURI CHK
EC-61   SGR-220-T      SUBHASGRAM 200 KV FEEDERS
EC-62   SGR-ICTS       SUBHASGRAM ICTS
EC-63   MLB-IC-LN      MALBASE ICT AND LINE
EC-64   SGR-400-BS     SUBHASGRAM 400 KV BUS
EC-65   RAN_220_FD     RANCHI 200 KV FEEDERS
EC-67   ARA-220-XTN    ARA 220KV TRANSFORMER
EC-68   MTH-RAN_IC4    400 KV SIDE OF RANCHI ICTS
EC-69   MTN-RNC-IC2    200 KV SIDE OF RANCHI ICTS
EC-71   GTK_132_ICS    GANGTOK 132 KV SIDE OF ICTS
EC-72   GKT_66_ICTS    GANGTOK 66 KV SIDE OF ICTS
JS-99   PATR-PATRA     PATRATU-PATRATU_SUM
EC-73   BSEB_PAT_FDR   220 KV BSEB DRL FROM PATNA
BI-88   KSN-FRB-FDR    132 PURNEA-KSN FARBISGANJ
EC-74   220_PAT_ICT    220 KV SIDE OF PAT ICTS
KR-91   KUR_NET_REC    KURUCHU NET RECEIPT
BN-91   BAN_NET_DRL    BANGALA NET DRAWL 
RN-95   RGN-NT-GEN     NET C.S.GEN OF REGION
RN-96   RGN-NT-DRL     NET DRAWAL OF CONSTITUENTS
RN-97   RGN-LOSS       LOSS IN C.S. SYSTEM & TIE LINES
IR-97   TOTAL_IR_FLOW  NET ER-IR FLOW
BR-77   BRH_BUS_4      BARH NET GEN 400 KV BUS
KA-77   KHG_BUS_4      KAHALGAON 400 KV BUS
KA-80   KHG_BUS_1      KAHALGAON 132 KV BUS
FS-77   FKK_BUS_4      FARAKKA 400 KV BUS
TA-77   TAL_BUS_4      TALCHER 400 KV BUS
BL-77   BRBCL_BUS_4    BRBCL 400 KV BUS
DP-77   DRPL_BUS_7     DARLIPALLI 765 KV BUS
KB-79   KBUNL_BUS_2    KBUNL 220 KV BUS
NP-77   NPGC_BUS_4     NPGC-NABINAGAR 400 KV BUS
TE-77   TEESTA_BUS_4   TEESTA 400 KV BUS
AP-77   APNR_BUS_4     APNRL 400 KV BUS
DI-77   DICK_BUS_4     DIKCHU 400 KV BUS
GM-77   GMR_BUS_4      GMR 400 KV BUS
MR-77   MRB_BUS_4      MPL 400 KV BUS
TU-77   TUL_BUS_4      TEESTA III 400 KV BUS
NM-79   NML_BUS_2      NEW MELLI 220 KV BUS
RO-79   RGNC_BUS_2     RONGNICHU 220 KV BUS
CZ-79   CZN_BUS_1      CHUZACHEN 132 KV BUS
DI-80   DICK_BUS_1     DIKCHU 132 KV BUS
GA-78   GAYA_BUS_7     GAYA 765 KV BUS
RA-78   RAN_N_BUS_7    RANCHI 765 KV BUS
SU-77   SDG_BUS_7      SUNDARGARH 765 KV BUS
AG-78   AGL_BUS_7      ANGUL 765 KV BUS
ME-78   MED_BUS_7      MEDINIPUR 765 KV BUS
CB-77   CHB_BUS_4      CHAIBASA 400 KV BUS
MT-77   MTN_BUS_4      MAITHON 400 KV BUS
JS-77   JSR_BUS_4      JAMSHEDPUR 400 KV BUS
RK-77   RKL-BUS_4      ROURKELA 400 KV BUS
RE-77   REN_BUS_4      RENGALI 400 KV BUS
IN-77   IND_BUS_4      INDRAVATI 400 KV BUS
JE-77   JEY_BUS_4      JEYPORE 400 KV BUS
JR-77   JEY-TRNS_4     JEYPORE 400 KV BUS TRNS
JD-77   JITPL_4        JINDAL 400 KV BUS
DR-77   DGP_BUS_4      DURGAPUR 400 KV BUS 
BS-77   BSF-BUS_4      BIHARSHARIFF 400 KV BUS
PU-77   PUSL_BUS_4     PUSUALI 400 KV BUS
MZ-77   MZF_BUS_4      MUZZAFARPUR 400 KV BUS
BN-77   BINA_BUS_4     BINAGURI 400 KV BUS
PR-77   PRN_BUS_4      PURNEA 400 KV BUS
PA-77   PAT_BUS_4      PATNA 400 KV BUS 
BP-77   BPD_BUS_4      BARIPADA 400 KV BUS
SG-77   SGRM_BUS_4     SUBHASGRAM 400 KV BUS
RA-77   RAN_BUS_4      RANCHI 400 KV BUS
NR-77   NRAN_BUS_4     NEW RANCHI 400 KV BUS
GA-77   GAYA_BUS_4     GAYA 400 KV BUS
BO-77   BOL_BUS_4      BOLANGIR 400 KV BUS
BA-77   BANKA_BUS_4    BANKA 400 KV BUS
MB-77   MLB_BUS_4      MALBASE 400 KV BUS
BH-77   BHP_BUS_4      BERHAMPORE 400 KV BUS
AG-77   AGL_BUS_4      ANGUL 400 KV BUS
