LOC_ID	METER NO.    CTR     PTR	     PLACE OF INSTALLATION
KH-23   NP-5242-A    1000    3636.3636    400 KV KAHALGAON(NTPC)-MAITHON(PG)-1(CHK MTR)
KH-24   NP-5253-A    1000    3636.3636    400 KV KAHALGAON(NTPC)-MAITHON(PG)-2(CHK MTR)
KH-25   ER-1340-A    1000    3636.3636    400 KV KAHALGAON(NTPC)-LAKHISARAI(PG)-1(CHK MTR)
KH-26   NP-8652-A    1000    3636.3636    400 KV KAHALGAON (NTPC)-LAKHISARAI(PG)-2(CHK MTR)
KH-27   NP-5263-A    500     3636.3636    400 KV SIDE OF KAHALGAON(NTPC) 400/132ATR-I 200MVA(CHK MTR)
KH-28   NP-5265-A    500     3636.3636    400 KV SIDE OF KAHALGAON(NTPC) 400/132ATR-II 200MVA(CHK MT)
KH-31   NP-5245-A    1000    3636.3636    400 KV KAHALGAON(NTPC)-BANKA(PG)-1
KH-32   NP-5117-A    1000    3636.3636    400 KV KAHALGAON(NTPC)-BANKA(PG)-2
KH-33   NP-5235-A    1000    3636.3636    400 KV KAHALGAON(NTPC)-BANKA(PG)-1 (CHK)
KH-34   NP-5861-A    1000    3636.3636    400 KV KAHALGAON(NTPC)-BANKA(PG)-2 (CHK)
KH-35   NP-5269-A    2000    3636.3636    400 KV KAHALGAON(NTPC)-BARH(NTPC)-I (MAIN)
KH-36   NP-5266-A    2000    3636.3636    400 KV KAHALGAON(NTPC)-BARH(NTPC)-II (MAIN)
KH-37   NP-5264-A    2000    3636.3636    400 KV KAHALGAON(NTPC)-BARH(NTPC)-I (CHECK)
KH-38   NP-5268-A    2000    3636.3636    400 KV KAHALGAON(NTPC)-BARH(NTPC)-II (CHECK)
KH-39   ER-1860-A    1000    3636.3636    400 KV KAHALGAON(NTPC)-DURGAPUR(PG)-2 (MAIN)
KH-40   ER-1858-A    1000    3636.3636    400 KV KAHALGAON(NTPC)-DURGAPUR(PG)-1 (MAIN)
KH-41   ER-1329-A    3000    3636.3636    400 KV KAHALGAON(NTPC) BUS#1- KAHALGAON BUS#3
KH-42   ER-1327-A    3000    3636.3636    400 KV KAHALGAON(NTPC) BUS#3- KAHALGAON BUS#1
KH-43   ER-1324-A    3000    3636.3636    400 KV KAHALGAON(NTPC) BUS#2- KAHALGAON BUS#4
KH-44   ER-1321-A    3000    3636.3636    400 KV KAHALGAON(NTPC) BUS#4- KAHALGAON BUS#2   
KG-01   NP-5116-A    1000    3636.3636    400 KV SIDE OF KAHALGAON(NTPC) GT-5
KG-02   ER-1851-A    1000    3636.3636    400 KV SIDE OF KAHALGAON(NTPC) GT-6
KG-03   ER-1331-A    1000    3636.3636    400 KV SIDE OF KAHALGAON(NTPC) GT-7
KG-04   NP-5862-A    500     1200.0000    132 KV SIDE OF KAHALGAON(NTPC) STN TRANS-3
KG-05   NP-5863-A    500     1200.0000    132 KV SIDE OF KAHALGAON(NTPC) STN TRANS-4
KG-06   NP-5856-A    500     1200.0000    132 KV SIDE OF KAHALGAON(NTPC) STN TRANS-5
TL-01   NP-5107-A    1000    3636.3636    400 KV SIDE OF TALCHER(NTPC) GT-1
TL-02   NP-5105-A    1000    3636.3636    400 KV SIDE OF TALCHER(NTPC) GT-2
TL-03	NP-5108-A    500     3636.3636	  400 KV SIDE OF TALCHER(NTPC) 315MVA 400/220KV ATR-1
TL-04	NP-5109-A    500     3636.3636	  400 KV SIDE OF TALCHER(NTPC) 315MVA 400/220KV ATR-2
TL-05	NP-5083-A    1000    3636.3636	  400 KV TALCHER (NTPC) - ROURKELA (PG) -1
TL-06	NP-5084-A    1000    3636.3636	  400 KV TALCHER (NTPC) - ROURKELA (PG) -2
TL-07	NP-5085-A    1000    3636.3636	  400 KV TALCHER (NTPC) - RENGALI (PG) -1
TL-08	NP-5106-A    1000    3636.3636	  400 KV TALCHER (NTPC) - RENGALI (PG) -2
TL-09	NP-5103-A    1000    2000.0000	  220 KV TALCHER (NTPC) - TTPS (GRIDCO)
TL-10	NP-5102-A    1000    2000.0000	  220 KV TALCHER (NTPC) - RENGALI HPS (GRIDCO)
TL-11	NP-5112-A    1000    2000.0000	  220 KV TALCHER (NTPC) - MERAMUNDALI (GRIDCO)-1
TL-12	NP-5101-A    1000    2000.0000	  220 KV TALCHER (NTPC) - MERAMUNDALI (GRIDCO)-2
TL-13	NP-5081-A    200     2000.0000	  220 KV SIDE OF 220/11 KV TALCHER(NTPC) STATION TRANS.-1
TL-14   NP-5066-A    2000    3636.3636    400 KV TALCHER(NTPC) STG-I - STG-II-1 (MAIN)
TL-15   NP-5076-A    2000    3636.3636    400 KV TALCHER(NTPC) STG-I - STG-II-2 (MAIN)
TL-16   NP-5069-A    2000    3636.3636    400 KV TALCHER(NTPC) STG-I - STG-II-1 (CHECK)
TL-17   NP-5070-A    2000    3636.3636    400 KV TALCHER(NTPC) STG-I - STG-II-2 (CHECK)
TL-18	NP-5970-A    1000    3636.3636	  400 KV TALCHER (NTPC)-MERAMUNDALI(GRIDCO)-1(MAIN)
TL-19	NP-5067-A    1000    3636.3636	  400 KV TALCHER (NTPC)-MERAMUNDALI(GRIDCO)-2(MAIN)
TL-21	NP-5082-A    1000    3636.3636	  400 KV TALCHER (NTPC)-ROURKELA(PG)-1(CHK MTR)
TL-22	NP-5115-A    1000    3636.3636	  400 KV TALCHER (NTPC)-ROURKELA(PG)-2(CHK MTR)
TL-23	NP-5110-A    1000    3636.3636	  400 KV TALCHER (NTPC)-RENGALI (PG)-1(CHK MTR)
TL-24	NP-5972-A    1000    3636.3636	  400 KV TALCHER (NTPC)-RENGALI (PG)-2(CHK MTR)
TL-25	NP-5077-A    500     3636.3636	  400 KV SIDE OF TALCHER(NTPC) 400/220KV ATR-1(CHK MTR)
TL-26	NP-5113-A    500     3636.3636	  400 KV SIDE OF TALCHER(NTPC) 400/220KV ATR-2(CHK MTR)
TL-27	NP-5078-A    1000    3636.3636	  400 KV TALCHER (NTPC)-MERAMUNDALI(GRIDCO)-1(CHK)
TL-28	NP-5104-A    1000    3636.3636	  400 KV TALCHER (NTPC)-MERAMUNDALI(GRIDCO)-2(CHK)
TL-30   NP-5979-A    150     100.000      11  KV TALCHER SOLAR PLANT-SOLAR MCC-1 (MAIN)
TL-31   NP-7909-A    150     100.000      11  KV TALCHER SOLAR PLANT-SOLAR MCC-1 (CHECK)
TL-32   NP-7961-A    150     100.000      11  KV TALCHER SOLAR MCC-SOLAR PLANT-1 (STANDBY)
TL-33   NP-7948-A    150     100.000      11  KV TALCHER SOLAR PLANT-SOLAR MCC-2 (MAIN)
TL-34   NP-7962-A    150     100.000      11  KV TALCHER SOLAR PLANT-SOLAR MCC-2 (CHECK)
TL-35   NP-7628-A    150     100.000      11  KV TALCHER SOLAR MCC-SOLAR PLANT-2 (STANDBY)
TL-36   NP-7604-A    450     100.000      11  KV TALCHER SOLAR PLANT-SOLAR MCC-3 (MAIN)
TL-37   NP-7946-A    450     100.000      11  KV TALCHER SOLAR PLANT-SOLAR MCC-3 (CHECK)
TL-38   NP-7895-A    450     100.000      11  KV TALCHER SOLAR MCC-SOLAR PLANT-3 (STANDBY)
TL-39   NP-7631-A    450     100.000      11  KV TALCHER SOLAR PLANT-SOLAR MCC-4 (MAIN)
TL-40   NP-7945-A    450     100.000      11  KV TALCHER SOLAR PLANT-SOLAR MCC-4 (CHECK)
TL-41   NP-7633-A    450     100.000      11  KV TALCHER SOLAR MCC-SOLAR PLANT-4 (STANDBY)
BH-01   ER-2139-A    2000    3636.3636    400 KV SIDE OF BARH(NTPC) GT-2
BH-02   ER-2238-A    2000    3636.3636    400 KV SIDE OF BARH(NTPC) GT-4
BH-03   ER-2237-A    2000    3636.3636    400 KV SIDE OF BARH(NTPC) GT-5
BH-04   ER-2234-A    3000    3636.3636    400 KV BARH(NTPC)-KAHALGAON(NTPC)-I(MAIN)
BH-05   ER-2235-A    3000    3636.3636    400 KV BARH(NTPC)-KAHALGAON(NTPC)-II(MAIN)
BH-06   ER-2140-A    3000    3636.3636    400 KV BARH(NTPC)-PATNA(PG)-1(MAIN)
BH-07   NP-8682-A    3000    3636.3636    400 KV BARH(NTPC)-PATNA(PG)-2(MAIN)
BH-08   ER-2137-A    3000    3636.3636    400 KV BARH(NTPC)-PATNA(PG)-3(MAIN)
BH-09   NP-8685-A    3000    3636.3636    400 KV BARH(NTPC)-PATNA(PG)-3(CHECK)
BH-10   ER-2138-A    3000    3636.3636    400 KV BARH(NTPC)-PATNA(PG)-4(MAIN)
BH-11   NP-8667-A    3000    3636.3636    400 KV BARH(NTPC)-PATNA(PG)-4(CHECK)
BH-12   NP-6531-A    500     3636.3636    400 KV SIDE OF 200 MVA 400/132 KV BARH(NTPC) ICT-1
BH-13   ER-1056-A    500     3636.3636    400 KV SIDE OF 200 MVA 400/132 KV BARH(NTPC) ICT-2
BH-14   NP-8686-A    3000    3636.3636    400 KV BARH(NTPC)-KAHALGAON(NTPC)-II(CHECK)
BH-15   ER-2233-A    3000    3636.3636    400 KV BARH(NTPC)-PATNA(PG)-2(CHECK)
BH-16   NP-8657-A    600     1200.0000    132 KV SIDE OF BARH(NTPC) 132/11 KV STN TRN-4 FOR STG-2
BH-17   NP-8666-A    600     1200.0000    132 KV SIDE OF BARH(NTPC) 132/11 KV STN TRN-5 FOR STG-2
BH-18   ER-2141-A    3000    3636.3636    400 KV BARH(NTPC)- MOTIHARI(DMTCL) LINE-2(MAIN)
BH-19   NP-8648-A    3000    3636.3636    400 KV BARH(NTPC)- MOTIHARI(DMTCL) LINE-2(CHECK)
BH-20   NP-8649-A    3000    3636.3636    400 KV BARH(NTPC)- MOTIHARI(DMTCL) LINE-1(MAIN)
BH-21   ER-2236-A    3000    3636.3636    400 KV BARH(NTPC)- MOTIHARI(DMTCL) LINE-1(CHECK)
BH-22   ER-1446-A    500     3636.3636    400 KV SIDE OF 200 MVA 400/132 KV BARH(NTPC) ICT-3
BH-23   NP-8863-A    3000    3636.3636    400 KV BARH(NTPC)-KAHALGAON(NTPC)-I(CHECK)
BH-24   NP-8864-A    3000    3636.3636    400 KV BARH(NTPC)-PATNA(PG)-I(CHECK)
BH-25   ER-1430-A    2000    3636.3636    400 KV SIDE OF BARH(NTPC) GT-1 FOR STG-1
BH-26   ER-1426-A    600     1200.0000    132 KV SIDE OF BARH(NTPC) 132/11 KV STN TRN-1 FOR STG-1
BH-27   ER-1427-A    600     1200.0000    132 KV SIDE OF BARH(NTPC) 132/11 KV STN TRN-2 FOR STG-1
BH-28   ER-1428-A    600     1200.0000    132 KV SIDE OF BARH(NTPC) 132/11 KV STN TRN-3 FOR STG-1
BH-29   ER-1422-A    3000    3636.3636    400 KV SIDE BUS SEC-1A FOR BARH(NTPC) STG-1
BH-30   ER-1423-A    3000    3636.3636    400 KV SIDE BUS SEC-1B FOR BARH(NTPC) STG-1
BH-31   ER-1264-A    3000    3636.3636    400 KV SIDE BUS SEC-2A FOR BARH(NTPC) STG-1
BH-32   ER-1268-A    3000    3636.3636    400 KV SIDE BUS SEC-2B FOR BARH(NTPC) STG-1 
DP-01   ER-2077-A    1000    6954.5455    765 KV SIDE OF 765/23.5 KV DARLIPALLI(NTPC) GT-1
DP-02   ER-1761-A    1000    6954.5455    765 KV SIDE OF 765/23.5 KV DARLIPALLI(NTPC) GT-2
