FICTMTRS.DAT for the date 2018-01-01 to  2018-05-31
----------------------------------------------------

Loc_Id    Meter_No            Description
WB-81     WB-EX-CS            WBSEB EXCHANGE WITH CS (OTHER THAN 400 KV)

WB-82     WB-EXNT-C           WBSEB EXCHANGE WITH CS

WB-84     WB-EX-DVC           WBSEB EXCHANGE WITH DVC

WB-90     WB_PG_TERT          WBSEB TERTIRAY WITH PG

WB-91     WB-NET-EX           WBSEB NET EXCHANGE

NE-71     SLK-BRP-AV          BIRPARA-SALAKATI AVG.

NE-72     BNG-MLD-AV          BONGAIGAON-MALDA ABG.

NE-91     NE-NET-EX           NER NET EXCHANGE

SR-91     SR-NET-EX           SR NET EXCHANGE AT EAST BUS

SR-92     SRS-EXCH            SR NET EXCHANGE AT SOUTH BUS

WR-91     WR-NET-EX           WR NET EXCHANGE

NR-61     SSRM_EXER           NR EXCHANGE AT SSRM EAST BUS

NR-62     SSRM_EXNR           NR EXCHANGE AT SSRM NORTH BUS

NR-91     NR-NET-EX           NR NET EXCHANHE

PS-91     HVDC_PSL            HVDC PUSAULI NET

AL-91     HVDC_ALP            HVDC ALIPURDUAR NET

IB-91     INB_NET             IND BARATH NET INJECTION

JS-88     KND_JOD             SUM OF JODA-KEND MAIN TRF

AL-99     ALP_PL_34           ALIPURDUAR POLE-3 & 4 SUM

AG-99     AG_PL_1234          AGRA POLE SUM

BN-99     BNC_PL_12           BNC POLE-1 & 2 SUM

AB-99     ALPBNC-TOT          ALIPURDUAR & BNC TOTAL

FK-67     F67-CHK             FARAKKA-ATR CHECK METER

FK-68     F68-CHK             FARAKKA-MALDA-1 CHECK METER

FK-69     F69-CHK             FARAKKA-MALDA-2 CHECK METER

FK-70     F70-CHK             FARAKKA-ATR FICTITIOUS METER

FK-71     F71-CHK             FARAKKA-KHG-3 CHECK METER

FK-72     F72-CHK             FARAKKA-KHG-4 CHECK METER

KH-63     K63-CHK             KAHALGAON-MTN-1 CHECK METER

KH-64     K64-CHK             KAHALGAON-MTN-2 CHECK METER

KH-65     K65-CHK             KAHALGAON-BSF-1 CHECK METER

KH-66     K66-CHK             KAHALGAON-BSF-2 CHECK METER

KH-67     K67-CHK             KAHALGAON-ATR-1 CHECK METER

KH-68     K68-CHK             KAHALGAON-ATR-2 CHECK METER

KH-69     K69-CHK             KAHALGAON-BSF-3 CHECK METER

KH-70     K70-CHK             KAHALGAON-BSF-4 CHECK METER

TL-61     T61-CHK             TALCHER-RKL-1 CHECK METER

TL-62     T62-CHK             TALCHER-RKL-2 CHECK METER

TL-63     T63-CHK             TALCHER-REN-1 CHECK METER

TL-64     T64-CHK             TALCHER-REN-2 CHECK METER

TL-65     T65-CHK             TALCHER-ATR-1 CHECK METER

TL-66     T66-CHK             TALCHER-ATR-2 CHECK METER

BH-44     B44-CHK             BARH-BAL-2 CHECK METER

