MASTER.DAT for the date 2018-01-01 to  2018-01-14
----------------------------------------------------

Loc_Id    Meter_No         CTR            PTR                    Place Of Installation
KH-22     NP-5260-A        1000           3636.3636              400 KV KAHALGAON(NTPC)-FARAKKA(NTPC)-2(CHK MTR)

KH-23     NP-5242-A        1000           3636.3636              400 KV KAHALGAON(NTPC)-MAITHON(PG)-1(CHK MTR)

KH-24     NP-5253-A        1000           3636.3636              400 KV KAHALGAON(NTPC)-MAITHON(PG)-2(CHK MTR)

KH-25     NP-5248-A        1000           3636.3636              400 KV KAHALGAON(NTPC)-LAKHISARAI(PG)-1(CHK MTR)

KH-26     NP-8652-A        1000           3636.3636              400 KV KAHALGAON (NTPC)-LAKHISARAI(PG)-2(CHK MTR)

KH-27     NP-5263-A        500            3636.3636              400 KV SIDE OF K'GAON 400/132ATR-I 200MVA(CHK MTR)

KH-28     NP-5265-A        500            3636.3636              400 KV SIDE OF K'GAON 400/132ATR-II 200MVA(CHK MT)

KH-31     NP-5245-A        1000           3636.3636              400 KV KAHALGAON-BANKA-1

KH-32     NP-5117-A        1000           3636.3636              400 KV KAHALGAON-BANKA-2

KH-33     NP-5235-A        1000           3636.3636              400 KV KAHALGAON-BANKA-1 (CHK)

KH-34     NP-5861-A        1000           3636.3636              400 KV KAHALGAON-BANKA-2 (CHK)

KH-35     NP-5269-A        2000           3636.3636              400 KV KAHALGAON-BARH-I (MAIN)

KH-36     NP-5266-A        2000           3636.3636              400 KV KAHALGAON-BARH-II (MAIN)

KH-37     NP-5264-A        2000           3636.3636              400 KV KAHALGAON-BARH-I (CHECK)

KH-38     NP-5268-A        2000           3636.3636              400 KV KAHALGAON-BARH-II (CHECK)

KH-39     NP-7826-A        1000           3636.3636              400 KV KAHALGAON-FARAKKA-3 (MAIN)

KH-40     NP-7882-A        1000           3636.3636              400 KV KAHALGAON-FARAKKA-4 (MAIN)

KG-01     NP-5116-A        1000           3636.3636              400 KV SIDE OF KAHALGAON GT-5

KG-02     NP-5852-A        1000           3636.3636              400 KV SIDE OF KAHALGAON GT-6

KG-03     NP-5857-A        1000           3636.3636              400 KV SIDE OF KAHALGAON GT-7

KG-04     NP-5862-A        500            1200.0000              132 KV SIDE OF KAHALGAON STN TRANS-3

KG-05     NP-5863-A        500            1200.0000              132 KV SIDE OF KAHALGAON STN TRANS-4

KG-06     NP-5856-A        500            1200.0000              132 KV SIDE OF KAHALGAON STN TRANS-5

TL-01     NP-5107-A        1000           3636.3636              400 KV SIDE OF TALCHER GT-1

TL-02     NP-5105-A        1000           3636.3636              400 KV SIDE OF TALCHER GT-2

TL-03     NP-5108-A        500            3636.3636              400 KV SIDE OF TALCHER 315MVA 400/220KV ATR-1

TL-04     NP-5109-A        500            3636.3636              400 KV SIDE OF TALCHER 315MVA 400/220KV ATR-2

TL-05     NP-5083-A        1000           3636.3636              400 KV TALCHER (NTPC) - ROURKELA (PG) -1

TL-06     NP-5084-A        1000           3636.3636              400 KV TALCHER (NTPC) - ROURKELA (PG) -2

TL-07     NP-5085-A        1000           3636.3636              400 KV TALCHER (NTPC) - RENGALI (PG) -1

TL-08     NP-5106-A        1000           3636.3636              400 KV TALCHER (NTPC) - RENGALI (PG) -2

TL-09     NP-5103-A        1000           2000.0000              220 KV TSTPP (NTPC) - TTPS (GRIDCO)

TL-10     NP-5102-A        1000           2000.0000              220 KV TSTPP (NTPC) - RENGALI HPS (GRIDCO)

TL-11     NP-5112-A        1000           2000.0000              220 KV TSTPP (NTPC) - M'MUNDALI (GRIDCO)-1

TL-12     NP-5101-A        1000           2000.0000              220 KV TSTPP (NTPC) - M'MUNDALI (GRIDCO)-2

TL-13     NP-5081-A        200            2000.0000              220 KV SIDE OF 220/11 KV STATION TRANS.-1

TL-14     NP-5066-A        2000           3636.3636              400 KV TSTPP STG-I - STG-II-1 (MAIN)

TL-15     NP-5076-A        2000           3636.3636              400 KV TSTPP STG-I - STG-II-2 (MAIN)

TL-16     NP-5069-A        2000           3636.3636              400 KV TSTPP STG-I - STG-II-1 (CHECK)

TL-17     NP-5070-A        2000           3636.3636              400 KV TSTPP STG-I - STG-II-2 (CHECK)

TL-18     NP-5970-A        1000           3636.3636              400 KV TALCHER (NTPC)-MIRAMUNDALI(GRIDCO) (MAIN)

TL-19     NP-5067-A        1000           3636.3636              400 KV TALCHER (NTPC)-ANGUL(PG)

TL-21     NP-5082-A        1000           3636.3636              400 KV TALCHER (NTPC)-ROURKELA(PG)-1(CHK MTR)

TL-22     NP-5115-A        1000           3636.3636              400 KV TALCHER (NTPC)-ROURKELA(PG)-2(CHK MTR)

TL-23     NP-5110-A        1000           3636.3636              400 KV TALCHER (NTPC)-RENGALI (PG)-1(CHK MTR)

TL-24     NP-5972-A        1000           3636.3636              400 KV TALCHER (NTPC)-RENGALI (PG)-2(CHK MTR)

TL-25     NP-5077-A        500            3636.3636              400 KV SIDE OF TALCHER 400/220KV ATR-1(CHK MTR)

